freq,mag,phase
1.00000e+000,-3.91970e+001,-8.96856e+001
2.00000e+000,-3.31768e+001,-8.93712e+001
3.00000e+000,-2.96556e+001,-8.90568e+001
4.00000e+000,-2.71578e+001,-8.87425e+001
5.00000e+000,-2.52207e+001,-8.84282e+001
6.00000e+000,-2.36386e+001,-8.81141e+001
7.00000e+000,-2.23013e+001,-8.78000e+001
8.00000e+000,-2.11434e+001,-8.74861e+001
9.00000e+000,-2.01226e+001,-8.71724e+001
1.00000e+001,-1.92099e+001,-8.68588e+001
1.10000e+001,-1.83848e+001,-8.65454e+001
1.20000e+001,-1.76321e+001,-8.62322e+001
1.30000e+001,-1.69401e+001,-8.59193e+001
1.40000e+001,-1.62999e+001,-8.56065e+001
1.50000e+001,-1.57044e+001,-8.52941e+001
1.60000e+001,-1.51479e+001,-8.49819e+001
1.70000e+001,-1.46256e+001,-8.46700e+001
1.80000e+001,-1.41336e+001,-8.43585e+001
1.90000e+001,-1.36688e+001,-8.40472e+001
2.00000e+001,-1.32283e+001,-8.37364e+001
2.10000e+001,-1.28098e+001,-8.34259e+001
2.20000e+001,-1.24113e+001,-8.31158e+001
2.30000e+001,-1.20310e+001,-8.28061e+001
2.40000e+001,-1.16674e+001,-8.24968e+001
2.50000e+001,-1.13191e+001,-8.21879e+001
2.60000e+001,-1.09850e+001,-8.18795e+001
2.70000e+001,-1.06640e+001,-8.15716e+001
2.80000e+001,-1.03552e+001,-8.12642e+001
2.90000e+001,-1.00576e+001,-8.09573e+001
3.00000e+001,-9.77070e+000,-8.06509e+001
3.10000e+001,-9.49366e+000,-8.03450e+001
3.20000e+001,-9.22591e+000,-8.00397e+001
3.30000e+001,-8.96687e+000,-7.97350e+001
3.40000e+001,-8.71606e+000,-7.94309e+001
3.50000e+001,-8.47300e+000,-7.91273e+001
3.60000e+001,-8.23726e+000,-7.88244e+001
3.70000e+001,-8.00846e+000,-7.85221e+001
3.80000e+001,-7.78625e+000,-7.82205e+001
3.90000e+001,-7.57027e+000,-7.79195e+001
4.00000e+001,-7.36024e+000,-7.76192e+001
4.10000e+001,-7.15587e+000,-7.73196e+001
4.20000e+001,-6.95689e+000,-7.70206e+001
4.30000e+001,-6.76306e+000,-7.67225e+001
4.40000e+001,-6.57415e+000,-7.64250e+001
4.50000e+001,-6.38995e+000,-7.61283e+001
4.60000e+001,-6.21026e+000,-7.58323e+001
4.70000e+001,-6.03489e+000,-7.55371e+001
4.80000e+001,-5.86366e+000,-7.52427e+001
4.90000e+001,-5.69643e+000,-7.49491e+001
5.00000e+001,-5.53302e+000,-7.46563e+001
5.10000e+001,-5.37329e+000,-7.43643e+001
5.20000e+001,-5.21711e+000,-7.40732e+001
5.30000e+001,-5.06435e+000,-7.37829e+001
5.40000e+001,-4.91489e+000,-7.34934e+001
5.50000e+001,-4.76861e+000,-7.32048e+001
5.60000e+001,-4.62540e+000,-7.29171e+001
5.70000e+001,-4.48516e+000,-7.26303e+001
5.80000e+001,-4.34779e+000,-7.23444e+001
5.90000e+001,-4.21319e+000,-7.20594e+001
6.00000e+001,-4.08128e+000,-7.17753e+001
6.10000e+001,-3.95198e+000,-7.14921e+001
6.20000e+001,-3.82519e+000,-7.12098e+001
6.30000e+001,-3.70086e+000,-7.09286e+001
6.40000e+001,-3.57889e+000,-7.06482e+001
6.50000e+001,-3.45923e+000,-7.03688e+001
6.60000e+001,-3.34180e+000,-7.00904e+001
